,,Template Selection,,,,
Model,false dilemma,faulty generalization,false causality,fallacy of credibility,total,standard deviation
gpt-3.5-turbo-zero(5)pr1,0.04,0.18,0.02,0.14,0.10,0.02
gpt-3.5-turbo-1(5)pr1,0.09,0.29,0.39,0.19,0.24,0.02
gpt-3.5-turbo-5(5)pr1,0.19,0.33,0.21,0.33,0.26,0.02
gpt-4-zero(5)pr1,0.05,0.26,0.19,0.37,0.22,0.02
gpt-4-1(5)pr1,0.09,0.32,0.18,0.36,0.24,0.02
gpt-4-5(5)pr1,0.32,0.33,0.27,0.42,0.34,0.01
gpt-3.5-turbo-zero(5)pr2,0.03,0.09,0.11,0.14,0.09,0.02
gpt-3.5-turbo-1(5)pr2,0.04,0.27,0.39,0.19,0.22,0.01
gpt-3.5-turbo-5(5)pr2,0.14,0.32,0.26,0.29,0.25,0.02
gpt-4-zero(5)pr2,0.09,0.22,0.17,0.37,0.21,0.03
gpt-4-1(5)pr2,0.15,0.30,0.20,0.33,0.24,0.02
gpt-4-5(5)pr2,0.38,0.34,0.26,0.42,0.35,0.02
gpt-3.5-turbo-zero(5)pr3,0.04,0.16,0.01,0.13,0.08,0.01
gpt-3.5-turbo-1(5)pr3,0.06,0.26,0.27,0.21,0.20,0.02
gpt-3.5-turbo-5(5)pr3,0.17,0.33,0.23,0.30,0.26,0.02
gpt-4-zero(5)pr3,0.04,0.25,0.20,0.38,0.22,0.01
gpt-4-1(5)pr3,0.16,0.35,0.25,0.32,0.27,0.02
gpt-4-5(5)pr3,0.28,0.30,0.32,0.45,0.34,0.03
,,,,,,
,,Slot-filling,,,,
Model,false dilemma,faulty generalization,false causality,fallacy of credibility,total,standard deviation
gpt-3.5-turbo-zero-em(5)pr1,1.00,0.88,0.50,0.92,0.83,0.15
gpt-3.5-turbo-1-em(5)pr1,0.72,0.59,0.22,0.53,0.52,0.02
gpt-3.5-turbo-5-em(5)pr1,0.57,0.70,0.59,0.36,0.56,0.02
gpt-3.5-turbo-zero-pm(5)pr1,1.00,0.94,0.80,0.92,0.92,0.12
gpt-3.5-turbo-1-pm(5)pr1,0.75,0.63,0.48,0.53,0.60,0.03
gpt-3.5-turbo-5-pm(5)pr1,0.86,0.77,0.78,0.36,0.69,0.04
gpt-4-zero-em(5)pr1,0.81,0.45,0.13,0.41,0.45,0.04
gpt-4-1-em(5)pr1,0.63,0.64,0.19,0.35,0.45,0.02
gpt-4-5-em(5)pr1,0.49,0.37,0.25,0.26,0.34,0.03
gpt-4-zero-pm(5)pr1,0.81,0.54,0.48,0.46,0.57,0.06
gpt-4-1-pm(5)pr1,0.76,0.65,0.37,0.42,0.55,0.04
gpt-4-5-pm(5)pr1,0.68,0.44,0.37,0.38,0.47,0.03
gpt-3.5-turbo-zero-em(5)pr2,1.00,1.00,0.56,0.91,0.87,0.05
gpt-3.5-turbo-1-em(5)pr2,0.95,0.63,0.22,0.63,0.61,0.05
gpt-3.5-turbo-5-em(5)pr2,0.70,0.70,0.45,0.30,0.54,0.04
gpt-3.5-turbo-zero-pm(5)pr2,1.00,1.00,0.96,0.91,0.97,0.04
gpt-3.5-turbo-1-pm(5)pr2,1.00,0.66,0.47,0.66,0.70,0.03
gpt-3.5-turbo-5-pm(5)pr2,0.91,0.80,0.50,0.30,0.63,0.04
gpt-4-zero-em(5)pr2,0.51,0.58,0.10,0.44,0.41,0.05
gpt-4-1-em(5)pr2,0.48,0.62,0.12,0.37,0.40,0.02
gpt-4-5-em(5)pr2,0.47,0.40,0.23,0.30,0.35,0.02
gpt-4-zero-pm(5)pr2,0.58,0.60,0.39,0.49,0.52,0.02
gpt-4-1-pm(5)pr2,0.72,0.63,0.36,0.41,0.53,0.02
gpt-4-5-pm(5)pr2,0.71,0.51,0.34,0.41,0.49,0.03
gpt-3.5-turbo-zero-em(5)pr3,1.00,0.87,1.00,0.91,0.94,0.01
gpt-3.5-turbo-1-em(5)pr3,0.85,0.63,0.14,0.48,0.52,0.04
gpt-3.5-turbo-5-em(5)pr3,0.83,0.71,0.48,0.28,0.58,0.05
gpt-3.5-turbo-zero-pm(5)pr3,1.00,0.87,1.00,0.91,0.94,0.01
gpt-3.5-turbo-1-pm(5)pr3,0.89,0.70,0.43,0.48,0.62,0.06
gpt-3.5-turbo-5-pm(5)pr3,0.98,0.74,0.56,0.28,0.64,0.03
gpt-4-zero-em(5)pr3,0.96,0.43,0.08,0.49,0.49,0.04
gpt-4-1-em(5)pr3,0.51,0.58,0.18,0.35,0.41,0.03
gpt-4-5-em(5)pr3,0.53,0.33,0.21,0.26,0.34,0.05
gpt-4-zero-pm(5)pr3,0.96,0.46,0.41,0.56,0.60,0.03
gpt-4-1-pm(5)pr3,0.68,0.60,0.33,0.43,0.51,0.05
gpt-4-5-pm(5)pr3,0.72,0.43,0.36,0.36,0.47,0.04
